   -0.174824506044387817E+02    0.395252516672997235-321
   -0.188146716356277466E+02    0.395252516672997235-321
   -0.167638324499130249E+02    0.395252516672997235-321
   -0.180625376701354980E+02    0.395252516672997235-321
   -0.151978529691696167E+02    0.395252516672997235-321
   -0.205473368167877197E+02    0.395252516672997235-321
   -0.187532286643981934E+02    0.395252516672997235-321
   -0.203887091875076294E+02    0.395252516672997235-321
   -0.170317289829254150E+02    0.395252516672997235-321
   -0.203479528427124023E+02    0.395252516672997235-321
   -0.165810098648071289E+02    0.395252516672997235-321
   -0.177495889663696289E+02    0.395252516672997235-321
   -0.175193374156951904E+02    0.395252516672997235-321
   -0.168052196502685547E+02    0.395252516672997235-321
   -0.178422238826751709E+02    0.395252516672997235-321
   -0.172408068180084229E+02    0.395252516672997235-321
   -0.169424772262573242E+02    0.395252516672997235-321
   -0.170463441610336304E+02    0.395252516672997235-321
   -0.176662702560424805E+02    0.395252516672997235-321
   -0.161438612937927246E+02    0.395252516672997235-321
   -0.187454770803451538E+02    0.395252516672997235-321
   -0.193401499986648560E+02    0.395252516672997235-321
   -0.174820336103439331E+02    0.395252516672997235-321
   -0.203905788660049438E+02    0.395252516672997235-321
   -0.185665494203567505E+02    0.395252516672997235-321
   -0.188066908121109009E+02    0.395252516672997235-321
   -0.181761231422424316E+02    0.395252516672997235-321
   -0.152397601604461670E+02    0.395252516672997235-321
   -0.156476504802703857E+02    0.395252516672997235-321
   -0.197328397035598755E+02    0.395252516672997235-321
   -0.180347067117691040E+02    0.395252516672997235-321
   -0.196413563489913940E+02    0.395252516672997235-321
   -0.193886693716049194E+02    0.395252516672997235-321
   -0.208096507787704468E+02    0.395252516672997235-321
   -0.192928118705749512E+02    0.395252516672997235-321
   -0.181075919866561890E+02    0.395252516672997235-321
   -0.205550633668899536E+02    0.395252516672997235-321
   -0.172649484872817993E+02    0.395252516672997235-321
   -0.175496406555175781E+02    0.395252516672997235-321
   -0.157638752460479736E+02    0.395252516672997235-321
   -0.202612055540084839E+02    0.395252516672997235-321
   -0.160239822864532471E+02    0.395252516672997235-321
   -0.204000535011291504E+02    0.395252516672997235-321
   -0.183900411128997803E+02    0.395252516672997235-321
   -0.184774063825607300E+02    0.395252516672997235-321
   -0.196201211214065552E+02    0.395252516672997235-321
   -0.163641382455825806E+02    0.395252516672997235-321
   -0.181062301397323608E+02    0.395252516672997235-321
   -0.194643849134445190E+02    0.395252516672997235-321
   -0.185155591964721680E+02    0.395252516672997235-321
   -0.179532161951065063E+02    0.395252516672997235-321
   -0.164690430164337158E+02    0.395252516672997235-321
   -0.154063417911529541E+02    0.395252516672997235-321
   -0.168331217765808105E+02    0.395252516672997235-321
   -0.177308728694915771E+02    0.395252516672997235-321
   -0.172800235748291016E+02    0.395252516672997235-321
   -0.178873833417892456E+02    0.395252516672997235-321
   -0.181505827903747559E+02    0.395252516672997235-321
   -0.174654504060745239E+02    0.395252516672997235-321
   -0.185592198371887207E+02    0.395252516672997235-321
   -0.197418848276138306E+02    0.395252516672997235-321
   -0.208733325004577637E+02    0.395252516672997235-321
   -0.174530993700027466E+02    0.395252516672997235-321
   -0.160733900070190430E+02    0.395252516672997235-321
   -0.190452786684036255E+02    0.395252516672997235-321
   -0.190250930786132812E+02    0.395252516672997235-321
   -0.159508659839630127E+02    0.395252516672997235-321
   -0.187599914073944092E+02    0.395252516672997235-321
   -0.156768025159835815E+02    0.395252516672997235-321
   -0.208565890789031982E+02    0.395252516672997235-321
   -0.167441082000732422E+02    0.395252516672997235-321
   -0.166568251848220825E+02    0.395252516672997235-321
   -0.207682271003723145E+02    0.395252516672997235-321
   -0.198962631225585938E+02    0.395252516672997235-321
   -0.163382585048675537E+02    0.395252516672997235-321
   -0.160684257745742798E+02    0.395252516672997235-321
   -0.188428766727447510E+02    0.395252516672997235-321
   -0.182405991554260254E+02    0.395252516672997235-321
   -0.190396410226821899E+02    0.395252516672997235-321
   -0.191236771345138550E+02    0.395252516672997235-321
   -0.150345357656478882E+02    0.395252516672997235-321
   -0.159345066547393799E+02    0.395252516672997235-321
   -0.151129056215286255E+02    0.395252516672997235-321
   -0.185667457580566406E+02    0.395252516672997235-321
   -0.188299823999404907E+02    0.395252516672997235-321
   -0.185396304130554199E+02    0.395252516672997235-321
   -0.177876065969467163E+02    0.395252516672997235-321
   -0.183857020139694214E+02    0.395252516672997235-321
